   Using /home/abp/abp/GammaGames/20190320/RELISV2/oprofile_data/samples/ for samples directory.

WARNING: Lost samples detected! See /home/abp/abp/GammaGames/20190320/RELISV2/oprofile_data/samples/operf.log for details.
CPU: Intel Silvermont microarchitecture, speed 2080 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 2080000
samples  %        symbol name
2168     29.3568  ObjectManager::ObjectManager() [clone .cold.192]
662       8.9641  btTriangleInfoMap::serialize(void*, btSerializer*) const
605       8.1923  Omicron::getVP()
362       4.9018  btDefaultSerializer::getUniquePointer(void*)
291       3.9404  Game::Init() [clone .cold.105]
228       3.0873  Omicron::PointAt(TNodo*, glm::vec<3, float, (glm::qualifier)0> const&)
205       2.7759  Omicron::Initialize()
201       2.7217  ZMeshData::load(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
176       2.3832  CRigidBody::setOffsetBodyPosition(glm::vec<3, float, (glm::qualifier)0>&)
168       2.2749  BinaryParser::LoadLevelData(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, signed char) [clone .cold.257]
151       2.0447  Omicron::Omicron()
149       2.0176  ZMeshData::addVertexBuffer(std::vector<float, std::allocator<float> >&, unsigned int) [clone .constprop.144]
147       1.9905  btIDebugDraw::drawCapsule(float, float, int, btTransform const&, btVector3 const&)
103       1.3947  Omicron::getMVP()
82        1.1104  CAgent::ENTER_func_kTrig_LoadZone(TriggerRecordStruct*)
68        0.9208  Motor2D::InitPause() [clone .cold.256]
66        0.8937  TData::add(EnumDataType, float)
60        0.8125  IAState::Update() [clone .cold.106]
59        0.7989  CGun::shoot(glm::vec<3, float, (glm::qualifier)0>)
56        0.7583  Factory::createHero(glm::vec<3, float, (glm::qualifier)0> const&, signed char)
54        0.7312  ZMeshData::~ZMeshData()
53        0.7177  Motor2D::InitMenu6()
51        0.6906  CTriggerSystem::Update() [clone .cold.161]
49        0.6635  TriggerRecordStruct::TriggerRecordStruct(TriggerRecordStruct const&) [clone .cold.163]
47        0.6364  irr::core::CMatrix4<float>::CMatrix4(irr::core::CMatrix4<float> const&, irr::core::CMatrix4<float>::eConstructor)
43        0.5823  Motor2D::InitAIDebug(int)
42        0.5687  Omicron::getM()
41        0.5552  BinaryParser::ReadEventsData(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [clone .cold.258]
41        0.5552  CRigidBody::setBodyPosition(glm::vec<3, float, (glm:'':qualifier)0>&)
39        0.5281  TData::find(EnumDataType)
38        0.5146  Omicron::SetMapZoneVisibility(signed char const&, bool const&)
38        0.5146  Treecontroller::arbolswarm()
38        0.5146  ggDynWorld::ggDynWorld()
31        0.4198  Waypoint& std::deque<Waypoint, std::allocator<Waypoint> >::emplace_back<glm::vec<3, float, (glm::qualifier)0>&, unsigned short&, float&>(glm::vec<3, float, (glm::qualifier)0>&, unsigned short&, float&)
31        0.4198  std::_Rb_tree<char, std::pair<char const, void (Letra2D::*)()>, std::_Select1st<std::pair<char const, void (Letra2D::*)()> >, std::less<char>, std::allocator<std::pair<char const, void (Letra2D::*)()> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<char const, void (Letra2D::*)()> >, char const&)
30        0.4062  Factory::createHero(glm::vec<3, float, (glm::qualifier)0> const&, signed char) [clone .cold.109]
