WARNING: Lost samples detected! See /home/abp/abp/GammaGames/20190417/GammaGames/oprofile_data/samples/operf.log for details.
CPU: Intel Silvermont microarchitecture, speed 2080 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 2080000
samples  %        symbol name
1002     30.4467  btIDebugDraw::drawCapsule(float, float, int, btTransform const&, btVector3 const&)
496      15.0714  TData::add(EnumDataType, float)
198       6.0164  Motor2D::InitMenu()
170       5.1656  ggDynWorld::ggDynWorld()
162       4.9225  TData::clearData(EnumDataType)
158       4.8010  FMOD_ErrorString(FMOD_RESULT)
123       3.7375  Motor2D::InitMenu6()
116       3.5248  btIDebugDraw::drawCylinder(float, float, int, btTransform const&, btVector3 const&)
110       3.3424  Motor2D::InitMenu4()
84        2.5524  Cuadrado2D::Cuadrado2D(float, float, float, float)
75        2.2789  ggDynWorld::~ggDynWorld()
40        1.2154  btIDebugDraw::drawCone(float, float, int, btTransform const&, btVector3 const&)
32        0.9723  Motor2D::InitMenu2()
30        0.9116  std::_Rb_tree_node<std::pair<EnumDataType const, float> >* std::_Rb_tree<EnumDataType, std::pair<EnumDataType const, float>, std::_Select1st<std::pair<EnumDataType const, float> >, std::less<EnumDataType>, std::allocator<std::pair<EnumDataType const, float> > >::_M_copy<std::_Rb_tree<EnumDataType, std::pair<EnumDataType const, float>, std::_Select1st<std::pair<EnumDataType const, float> >, std::less<EnumDataType>, std::allocator<std::pair<EnumDataType const, float> > >::_Reuse_or_alloc_node>(std::_Rb_tree_node<std::pair<EnumDataType const, float> > const*, std::_Rb_tree_node_base*, std::_Rb_tree<EnumDataType, std::pair<EnumDataType const, float>, std::_Select1st<std::pair<EnumDataType const, float> >, std::less<EnumDataType>, std::allocator<std::pair<EnumDataType const, float> > >::_Reuse_or_alloc_node&)
29        0.8812  ggDynWorld::addShape(btCollisionShape*)
28        0.8508  Motor2D::AddImage(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, float, float, float, float)
26        0.7900  BFloat::BFloat(float)
24        0.7293  stbi__create_png_image_raw.isra.40
22        0.6685  Motor2D::addText(float, float, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, glm::vec<4, float, (glm::qualifier)0>, float)
19        0.5773  btIDebugDraw::drawSpherePatch(btVector3 const&, btVector3 const&, btVector3 const&, float, float, float, float, float, btVector3 const&, float, bool)
16        0.4862  Motor2D::addText(float, float, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, glm::vec<4, float, (glm::qualifier)0>, float) [clone .constprop.196]
15        0.4558  stbi__hdr_load.isra.44
15        0.4558  std::_Rb_tree_node<std::pair<unsigned short const, IComponent*> >* std::_Rb_tree<unsigned short, std::pair<unsigned short const, IComponent*>, std::_Select1st<std::pair<unsigned short const, IComponent*> >, std::less<unsigned short>, std::allocator<std::pair<unsigned short const, IComponent*> > >::_M_copy<std::_Rb_tree<unsigned short, std::pair<unsigned short const, IComponent*>, std::_Select1st<std::pair<unsigned short const, IComponent*> >, std::less<unsigned short>, std::allocator<std::pair<unsigned short const, IComponent*> > >::_Reuse_or_alloc_node>(std::_Rb_tree_node<std::pair<unsigned short const, IComponent*> > const*, std::_Rb_tree_node_base*, std::_Rb_tree<unsigned short, std::pair<unsigned short const, IComponent*>, std::_Select1st<std::pair<unsigned short const, IComponent*> >, std::less<unsigned short>, std::allocator<std::pair<unsigned short const, IComponent*> > >::_Reuse_or_alloc_node&)
14        0.4254  Motor2D::addButton(float, float, float, float, EnumButtonType, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, glm::vec<4, float, (glm::qualifier)0>)
13        0.3950  BFloat::getFloat()
12        0.3646  BFloat::BFloat(BFloat const&)
12        0.3646  CAIEnem::enableVisualDebug()
12        0.3646  ObjectManager::CallFunctionOfComponentes(gg::MessageType, void (IComponent::*)())
11        0.3342  CAIEnem::FixedUpdate()
11        0.3342  Imagen2D::setPos(float, float, float, float)
11        0.3342  ggDynWorld::removeCollisionObject(btCollisionObject*)
11        0.3342  stbi__load_main
10        0.3039  GLDebugDrawer::drawLine(btVector3 const&, btVector3 const&, btVector3 const&)
9         0.2735  AssetManager::loadInit() [clone .cold.218]
9         0.2735  FMOD_ErrorString(FMOD_RESULT)
9         0.2735  ggDynWorld::printObjects(int)
8         0.2431  Motor2D::addButton(float, float, float, float, EnumButtonType, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, glm::vec<4, float, (glm::qualifier)0>) [clone .constprop.199]
8         0.2431  btTriangleInfoMap::serialize(void*, btSerializer*) const
7         0.2127  BData::~BData()
6         0.1823  BData::BData(BData const&)
